district,transaction type,land shifting total area,transaction year,num_building,num_land,num_garage,total floor number,building state,main building materials,construction to complete the years,building shifting total area,num_room,num_bathroom,compartment,management org,carpark type,carpark shifting area,carpark total price,main building area,subsidiary building area,balcony area,elevator,total ntd,unit ntd,complete year
Wenshan District,Land+Building,1261.3,108,1,3,0,1.0,House,Reinforced Concrete,,245.48,0,0,0,0,No carpark,0.0,0,245.48,0.0,0.0,0,523060000,2130764,
ZhongZheng District,Land+Building,36.0,109,1,2,0,5.0,Apartment_5storey,Reinforced Concrete,76.0,142.01,3,2,1,0,No carpark,0.0,0,106.57,4.81,16.47,0,18500000,130273,76.0
ZhongZheng District,Land+Building,19.39,109,1,2,0,7.0,Apartment_5to10storey,Reinforced Concrete,102.0,84.97,2,1,1,0,No carpark,0.0,0,50.17,0.0,5.05,1,21580000,253972,102.0
ZhongZheng District,Land+Building,10.66,109,1,1,0,5.0,Apartment_5storey,Strengthened Brickwork,,34.63,0,1,1,0,No carpark,0.0,0,33.0,1.63,0.0,0,10400000,300318,
ZhongZheng District,Land+Building,45.0,109,1,1,0,4.0,Apartment_5storey,Strengthened Brickwork,58.0,99.86,3,2,1,0,No carpark,0.0,0,99.86,0.0,0.0,0,35800000,358502,58.0
Wanhua District,Land+Building,48.5,109,2,1,0,4.0,Apartment_5storey,Strengthened Brickwork,60.0,124.36,0,1,1,0,No carpark,0.0,0,124.36,0.0,0.0,0,11000000,88453,60.0
Wanhua District,Land+Building+Garage,4.46,109,1,1,1,24.0,Apartment_11storeyorgreater,Reinforced Concrete,108.0,97.18,1,1,1,1,Ramp Plane,37.02,2800000,33.95,3.15,3.22,1,14750000,198637,108.0
Wanhua District,Land+Building+Garage,4.57,109,1,1,1,24.0,Apartment_11storeyorgreater,Reinforced Concrete,108.0,75.59,2,1,1,1,Ramp Machinery,12.96,900000,35.45,2.61,3.75,1,13000000,193198,108.0
Wanhua District,Land+Building+Garage,6.66,109,1,1,1,24.0,Apartment_11storeyorgreater,Reinforced Concrete,108.0,105.79,2,1,1,1,Ramp Machinery,13.95,1350000,49.25,4.0,8.25,1,17350000,174216,108.0
Wanhua District,Land+Building,22.05,109,1,1,0,12.0,Apartment_11storeyorgreater,Reinforced Concrete,76.0,104.73,3,2,1,1,No carpark,0.0,0,70.63,0.0,10.72,1,15800000,150864,76.0
Neihu District,Land+Building,10.64,109,1,1,0,16.0,Apartment_11storeyorgreater,Reinforced Concrete,78.0,115.66,3,2,1,1,No carpark,0.0,0,101.32,0.0,7.72,1,22080000,190904,78.0
Zhongshan District,Land+Building,4.25,109,1,3,0,13.0,Apartment_11storeyorgreater,Reinforced Concrete,73.0,48.0,2,1,1,1,No carpark,0.0,0,37.02,0.0,3.23,1,8050000,167708,73.0
Neihu District,Land+Building+Garage,31.62,109,1,1,2,19.0,Apartment_11storeyorgreater,Reinforced Concrete,106.0,257.68,3,2,1,1,Ramp Plane,55.2,0,110.6,10.2,12.7,1,43380000,168348,106.0
Neihu District,Land+Building+Garage,10.9,109,1,1,1,9.0,Apartment_5to10storey,Reinforced Concrete,98.0,75.52,1,1,1,1,Lifting Plane,8.1,0,38.1,1.62,3.84,1,12800000,169492,98.0
Zhongshan District,Land+Building,3.82,109,1,1,0,14.0,Apartment_11storeyorgreater,Reinforced Concrete,70.0,37.81,1,1,1,1,No carpark,0.0,0,26.51,0.0,0.0,1,5600000,148109,70.0
Songshan District,Land+Building,28.8,109,1,1,0,5.0,Apartment_5storey,Reinforced Concrete,71.0,121.07,3,2,1,0,No carpark,0.0,0,79.41,0.0,25.07,0,23100000,190799,71.0
Xinyi District,Land+Building,15.66,109,1,1,0,6.0,Apartment_5to10storey,Reinforced Concrete,99.0,67.94,1,1,1,1,No carpark,0.0,0,37.67,2.72,3.85,1,18980000,279364,99.0
Xinyi District,Land+Building,9.11,109,1,4,0,12.0,Apartment_11storeyorgreater,Reinforced Concrete,69.0,107.84,2,2,1,1,No carpark,0.0,0,90.43,0.0,5.59,1,22000000,204006,69.0
Nangang District,Land+Building,55.76,109,1,1,0,14.0,Apartment_11storeyorgreater,Reinforced Concrete,101.0,343.1,0,0,0,1,No carpark,0.0,0,178.91,10.1,20.02,1,69540000,202681,101.0
Songshan District,Land+Building,4.69,109,1,1,0,18.0,Apartment_11storeyorgreater,Reinforced Concrete,98.0,58.73,1,1,1,1,No carpark,0.0,0,33.15,1.46,4.09,1,14500000,246893,98.0
Xinyi District,Land+Building,9.28,109,1,1,0,12.0,Apartment_11storeyorgreater,Reinforced Concrete,80.0,97.84,2,1,1,1,No carpark,0.0,0,76.88,0.0,7.38,1,19360000,197874,80.0
Xinyi District,Land+Building,33.76,109,1,1,0,5.0,Apartment_5storey,Reinforced Concrete,,102.79,3,3,1,0,No carpark,0.0,0,86.03,0.0,15.18,0,17000000,165386,
Nangang District,Land+Building,31.1,109,1,1,0,5.0,Apartment_5storey,Reinforced Concrete,75.0,115.55,3,2,1,0,No carpark,0.0,0,96.22,0.0,9.23,0,12380000,107140,75.0
Nangang District,Land+Building+Garage,24.45,109,1,1,1,10.0,Apartment_5to10storey,Reinforced Concrete,96.0,110.91,2,1,1,1,Ramp Machinery,0.0,0,60.67,2.62,6.16,1,20080000,181048,96.0
